0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EBC8F438>,yar-sale,ru,66.83,11.16,85,92,15.99,1514655526
<citipy.citipy.City object at 0x000001F1EB46E550>,goure,ne,13.98,74.43,29,0,12.15,1514655914
<citipy.citipy.City object at 0x000001F1EBB66828>,mukhen,ru,48.19,-10.27,52,0,2.24,1514655915
<citipy.citipy.City object at 0x000001F1EB34E9B0>,acapulco,mx,16.86,84.2,58,5,2.24,1514652180
<citipy.citipy.City object at 0x000001F1EB468BE0>,noumea,nc,-22.28,66.2,82,0,1.12,1514655000
<citipy.citipy.City object at 0x000001F1EA667EF0>,olinda,br,-2.03,82.4,61,75,8.05,1514653200
<citipy.citipy.City object at 0x000001F1EBA63208>,belyy yar,ru,53.6,17.6,78,0,6.71,1514653200
<citipy.citipy.City object at 0x000001F1EA7F5320>,lianzhou,cn,24.79,42.88,77,64,2.8,1514655571
<citipy.citipy.City object at 0x000001F1EBE81A58>,lompoc,us,34.64,52.48,49,1,4.7,1514653800
<citipy.citipy.City object at 0x000001F1EB46B160>,poum,nc,41.28,27.67,96,48,1.79,1514655504
<citipy.citipy.City object at 0x000001F1EBD04CF8>,hargeysa,so,9.56,50.08,90,0,5.77,1514655487
<citipy.citipy.City object at 0x000001F1EB56CA20>,kavieng,pg,-2.57,78.97,100,44,2.57,1514655525
<citipy.citipy.City object at 0x000001F1EB31D6A0>,bandiagara,ml,14.35,77.31,22,0,8.16,1514655918
<citipy.citipy.City object at 0x000001F1EAC1D2E8>,nuuk,gl,64.17,14,92,90,8.05,1514652600
<citipy.citipy.City object at 0x000001F1EA49BE48>,benguela,ao,-12.58,80.6,78,75,9.17,1514653200
<citipy.citipy.City object at 0x000001F1EC253BA8>,richards bay,za,-28.77,68.94,100,92,5.44,1514655677
<citipy.citipy.City object at 0x000001F1EADF79B0>,ngawen,id,-7.02,73.66,95,44,2.3,1514655920
<citipy.citipy.City object at 0x000001F1EA815438>,tianpeng,cn,28.88,35.86,98,0,2.8,1514655920
